תאריך,גוש חלקה תת חלקה,תיאור,חדרים,קומה,שטח,מחיר
30.11.2023,04/10/7437,דירה בבית קומות ,4,שלישית,88.1,"₪4,270,000.00 "
23.11.2023,7226-45-6,דירה בבית קומות ,3,שלישית,69,"₪4,600,000.00 "
05.11.2023,6918-53-38,דירה בבית קומות,2,שלישית,51,"₪3,650,000.00 "
03.11.2023,7441-16-3,מגורים,0,,,"₪700,000.00 "
02.11.2023,7438-13-2,דירה בבית קומות ,1,קרקע,30.57,"₪2,050,000.00 "
26.10.2023,7451-22-6,דירה בבית קומות,3,שניה,66.7,"₪5,100,000.00 "
23.10.2023,6907-32-23,חנות ,0,ראשונה,109,"₪3,725,000.00 "
27.09.2023,6907-82-5,דירה בבית קומות ,3,ראשונה,64.5,"₪4,075,000.00 "
27.09.2023,6941-123-6,דירה בבית קומות ,2,שניה,44.85,"₪3,500,000.00 "
21.09.2023,6919-58-8,דירה בבית קומות ,3,שניה,82.77,"₪4,700,000.00 "
21.09.2023,7429-51-7,דירה בבית קומות ,2,ביניים,56.19,"₪3,500,000.00 "
21.09.2023,6937-29-6,דירה בבית קומות ,2,רביעית,58,"₪4,620,000.00 "
13.09.2023,6918-61-24,דירה בבית קומות ,3,שלישית+רביעית,49,"₪3,800,000.00 "
12.09.2023,7429-53-5,דירה בבית קומות ,2,ראשונה,48,"₪2,500,000.00 "
11.09.2023,10/13/6912,דירה בבית קומות ,3,שלישית,75,"₪3,850,000.00 "
11.09.2023,6936-65-3,דירה בבית קומות ,3,שלישית,80,"₪5,260,000.00 "
10.09.2023,6933-91-10,דירה בבית קומות ,2,ראשונה,41,"₪1,950,000.00 "
06.09.2023,09/09/7228,דירה בבית קומות ,3,שלישית,76,"₪4,850,000.00 "
01.09.2023,7462-24-5,דירה בבית קומות ,2,רביעית,50,"₪3,100,000.00 "
31.08.2023,6933-136-77,דירה בבית קומות ,6,"מרתף חמישי, קרקע",159,"₪12,300,000.00 "
29.08.2023,7226-23-3,דירה בבית קומות,1.5,מרתף,33,"₪1,310,000.00 "
27.08.2023,6918-82-4,חנות ,0,קרקע ובניים,66.5,"₪2,533,000.00 "
22.08.2023,6911-53-3,דירה בבית קומות ,1,רביעית,39,"₪2,000,000.00 "
22.08.2023,03/06/7446,דירה בבית קומות ,2,חמישית,51,"₪2,850,000.00 "
18.08.2023,6936-50-4,דירה בבית קומות ,4,שניה,90.1,"₪2,900,000.00 "
17.08.2023,7430-29-1,דירה בבית קומות ,3,-------------,60.8,"₪4,600,000.00 "
17.08.2023,6911-101-5,דירה בבית קומות ,3,ראשונה,66,"₪4,242,000.00 "
17.08.2023,6907-35-26,דירה בבית קומות ,2,קומה 4,47.4,"₪3,100,000.00 "
14.08.2023,6933-136-18,דירה בבית קומות,4,רביעית,104,"₪6,310,000.00 "
10.08.2023,6918-68-8,משרד,0,רביעית,,"₪600,000.00 "
10.08.2023,6925-53-1,חנות ,0,קרקע,30,"₪978,000.00 "
07.08.2023,6910-57-2,דירה בבית קומות ,3,מרתף,70.47,"₪3,000,000.00 "
06.08.2023,7085-116-8,דירה בבית קומות ,3,ראשונה,64,"₪4,000,000.00 "
31.07.2023,6910-52-44,דירה בבית קומות ,3,רביעית,57,"₪4,300,000.00 "
30.07.2023,7450-19-12,דירה בבית קומות ,3,שלישית,79,"₪4,380,000.00 "
30.07.2023,7226-56-20,דירה בבית קומות ,4,ראשונה,92,"₪6,400,000.00 "
26.07.2023,6904-123-10,דירה בבית קומות ,3,שלישית,60.5,"₪6,080,000.00 "
25.07.2023,6933-136-63,דירה בבית קומות,5,שמונה עשרה,149.35,"₪10,050,000.00 "
24.07.2023,6937-32-8,מחסנים ,0,ראשונה,,"₪257,000.00 "
24.07.2023,7441-20-4,דירה בבית קומות ,3,שניה,69,"₪5,206,000.00 "
20.07.2023,10/05/6936,דירה בבית קומות ,4,שניה,73.54,"₪5,200,000.00 "
19.07.2023,7085-77-6,דירה בבית קומות ,2,ראשונה,29,"₪1,800,000.00 "
18.07.2023,7429-71-12,דירה בבית קומות ,3.5,רביעית,54.2,"₪6,600,000.00 "
18.07.2023,7451-29-9,דירה בבית קומות,2,שניה,43.9,"₪3,402,000.00 "
13.07.2023,6918-28-4,חנות ,0,ראשונה,,"₪960,000.00 "
11.07.2023,6941-70-5,דירה בבית קומות ,3,שלישית,92,"₪5,025,000.00 "
09.07.2023,7460-27-2,דירה בבית קומות ,2,שלישית,50,"₪4,250,000.00 "
06.07.2023,6918-52-6,דירה בבית קומות,3,ראשונה,54,"₪3,813,000.00 "
02.07.2023,6909-22-29,מחסנים ,0,,,"₪50,000.00 "
02.07.2023,6907-56-21,דירה בבית קומות,4,"חמישית, שישית",127.6,"₪10,550,000.00 "
27.06.2023,6907-54-151,משרד ,0,"שתים עשרה,שלש עשרה",69.44,"₪730,000.00 "
26.06.2023,11/11/7430,דירה בבית קומות ,3,רביעית,66.01,"₪5,000,000.00 "
25.06.2023,7430-34-16,דירה בבית קומות ,3,שניה,76.7,"₪4,200,000.00 "
25.06.2023,6941-80-10,דירה בבית קומות ,4,שלישית,104,"₪6,550,000.00 "
21.06.2023,7435-19-2,דירה בבית קומות ,3,שלישית,60,"₪4,350,000.00 "
20.06.2023,6904-138-1,דירה בבית קומות ,3,קומה 1,96,"₪6,000,000.00 "
20.06.2023,7460-27-6,דירה בבית קומות ,2,חמישית,47,"₪4,455,000.00 "
20.06.2023,6904-127-2,דירה בבית קומות,4,שלישית,100,"₪5,580,000.00 "
19.06.2023,6933-66-2,חנות ,0,קרקע,33,"₪1,650,000.00 "
19.06.2023,08/02/7434,דירה בבית קומות ,2,קרקע,50.92,"₪2,735,000.00 "
19.06.2023,6907-35-34,דירה בבית קומות ,3,קומה 5,54.8,"₪3,200,000.00 "
18.06.2023,7430-46-2,דירה בבית קומות ,4,רביעית,80,"₪7,440,000.00 "
15.06.2023,6911-14-13,דירה בבית קומות ,2,קומה 3,36.3,"₪2,500,000.00 "
14.06.2023,6907-47-14,דירה בבית קומות ,3,חמישית,81,"₪5,050,000.00 "
13.06.2023,6911-47-2,דירה בבית קומות ,2,עמודים,40,"₪3,000,000.00 "
13.06.2023,7460-27-7,דירה בבית קומות ,2,ראשונה,47,"₪4,100,000.00 "
13.06.2023,6920-38-69,דירה בבית קומות ,5,שלישית,103,"₪9,000,000.00 "
12.06.2023,7462-30-2,דירה בבית קומות,4,שלישית,112.7,"₪7,350,000.00 "
12.06.2023,6920-38-67,,5,שלישית,104,"₪9,000,000.00 "
11.06.2023,7226-50-14,דירה בבית קומות,3,ראשונה,64.82,"₪3,750,000.00 "
11.06.2023,6919-66-2,בית בודד,5,שניה,,"₪28,000,000.00 "
07.06.2023,6919-47-1,דירה בבית קומות,4,ראשונה,76,"₪6,250,000.00 "
01.06.2023,02/05/7453,דירה בבית קומות,4,ראשונה,75,"₪8,500,000.00 "
29.05.2023,7461-22-18,דירה בבית קומות,4,"שלישית, רביעית",102,"₪8,700,000.00 "
28.05.2023,6918-41-11,מחסנים,0,ראשונה,,"₪438,000.00 "
28.05.2023,7460-13-7,דירה בבית קומות,3,שניה,74,"₪4,970,000.00 "
28.05.2023,6933-136-21,דירה בבית קומות,4,קומה 5,117.7,"₪7,600,000.00 "
23.05.2023,7460-27-8,דירה בבית קומות,2,שניה,47,"₪3,900,000.00 "
