MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters
Fix,GT,37.3813053000,-121.8964600000,-14.337049056975559,0.0,0.1,2.495819,1694126880443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.337049056975559,0.0,0.1,2.4958653,1694126881443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.001,0.1,2.4958994,1694126882443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.001,0.1,2.4963963,1694126883443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.001,0.1,2.4963872,1694126884443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.0012331737,0.1,2.4964771,1694126885443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.0012331737,0.1,2.4966114,1694126886443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.337049056975559,0.00118104,0.1,2.496155,1694126887443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.0005629308,0.1,2.4962463,1694126888443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.3370499115303,0.00043706922,0.1,2.4960303,1694126889443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.337049056975559,0.00087413855,0.1,2.496136,1694126890443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.0,0.1,2.4959133,1694126891443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.337049056975559,0.0007961041,0.1,2.4961405,1694126892443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.3370499115303,0.0,0.1,2.4959683,1694126893443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.337049056975559,0.0005629305,0.1,2.4959629,1694126894443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.001,0.1,2.4959998,1694126895443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.001,0.1,2.4959555,1694126896443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.337049056975559,0.0014370696,0.1,2.495769,1694126897443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.337049056975559,0.0006181096,0.1,2.4961839,1694126898443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.3370499115303,0.00043706948,0.1,2.496156,1694126899443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.337049056975559,0.0014142136,0.1,2.4957716,1694126900443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.33704948425293,0.0014142136,0.1,2.495396,1694126901443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.336050033569336,0.0005629307,0.1,2.494138,1694126902443,,,,
Fix,GT,37.3813053000,-121.8964600000,-14.335050056429196,0.0117743695,0.1,2.4929833,1694126903443,,,,
Fix,GT,37.3813039000,-121.8964601000,-14.329612695899442,0.30653262,0.1,2.4965081,1694126904443,,,,
Fix,GT,37.3813004000,-121.8964602000,-14.318176186888053,0.4275786,0.1,2.5084481,1694126905443,,,,
Fix,GT,37.3812961000,-121.8964605000,-14.303174990649666,0.48837346,0.1,2.5152671,1694126906443,,,,
Fix,GT,37.3812912000,-121.8964608000,-14.289175052102053,0.65576994,0.1,2.376182,1694126907443,,,,
Fix,GT,37.3812845000,-121.8964625000,-14.274612380506369,0.8203231,0.1,358.67224,1694126908443,,,,
Fix,GT,37.3812773000,-121.8964657000,-14.260612866643271,0.81556123,0.1,349.07574,1694126909443,,,,
Fix,GT,37.3812689000,-121.8964674000,-14.245176230727253,0.9460225,0.1,337.92194,1694126910443,,,,
Fix,GT,37.3812593000,-121.8964669000,-14.227612025171794,1.0608704,0.1,325.1963,1694126911443,,,,
Fix,GT,37.3812491000,-121.8964634000,-14.225050396473705,1.0183997,0.1,311.52136,1694126912443,,,,
Fix,GT,37.3812428000,-121.8964594000,-14.23048595521172,0.37682253,0.1,302.28366,1694126913443,,,,
Fix,GT,37.3812422000,-121.8964588000,-14.22961187991541,0.0055800043,0.1,301.22934,1694126914443,,,,
Fix,GT,37.3812422000,-121.8964589000,-14.231487207955354,0.024114072,0.1,300.888,1694126915443,,,,
Fix,GT,37.3812440000,-121.8964627000,-14.2306118673024,0.7832314,0.1,300.92032,1694126916443,,,,
Fix,GT,37.3812487000,-121.8964744000,-14.230612291390912,1.5421128,0.1,298.83548,1694126917443,,,,
