,יום מכירה,מחיר עסקה,כתובת,גוש חלקה,מ״ר,סוכ נכס  מספר חדרים קומה
0,20/12/2023,"₪6,596,000",מרים החשמונאית 14,6212-987-16,97,דירה בבית קומות 4 שלישית
1,04/12/2023,"₪90,000",מרים החשמונאית 14,6212-987-17,4,מחסנים  שלישית
2,05/11/2023,"₪6,053,000",אנטיגונוס 13,6212-597-3,91,דירה בבית קומות 4 חמישית
3,01/11/2023,"₪4,000,000",חוני המעגל 9,6212-619-3,37,דירה בבית קומות 3 עמודים
4,29/09/2023,"₪4,025,000",מרים החשמונאית 14,6212-987-3,121,דירה בבית קומות 4 קרקע
5,28/09/2023,"₪8,200,000",מרים החשמונאית 18,6212-987-24,118,דירה בבית קומות 4 קרקע
6,26/09/2023,"₪4,250,000",חוני המעגל 6,6212-991-65,62,דירה בבית קומות 3 שניה
7,10/09/2023,"₪6,706,000",פנקס 19,6212-929-23,89,דירה בבית קומות 3 שמינית
8,05/09/2023,"₪4,650,000",פנקס 11,6212-1260-27,62,דירה בבית קומות 2 שמינית
9,22/08/2023,"₪4,250,000",לואי מרשל 7,6212-1276-9,68,דירה בבית קומות 2 ראשונה
10,16/08/2023,"₪5,001,000",אנטיגונוס 13,6212-597-4,72,דירה בבית קומות 3 שישית
11,13/08/2023,"₪4,406,000",פנקס 19,6212-929-11,71,דירה בבית קומות 3 שניה
12,13/08/2023,"₪4,900,000",יעקב דה-האז 10,6212-588-14,76,דירה בבית קומות 3 שלישית
13,25/07/2023,"₪6,500,000",יעקב דה-האז 11,6212-925-16,160,דירה בבית קומות 5 שביעית
14,02/07/2023,"₪3,506,000",פנקס 25,6212-928-32,67,דירה בבית קומות 3 ראשונה
15,02/07/2023,"₪2,856,000",פנקס 25,6212-928-32,51,דירה בבית קומות 2 ראשונה
16,14/06/2023,"₪227,000",מרים החשמונאית 14,6212-987-16,10,חניה  שלישית
17,09/05/2023,"₪5,550,000",מרים החשמונאית 22,6212-1192-12,83,דירה בבית קומות 3 שלישית
18,01/05/2023,"₪227,000",מרים החשמונאית 14,6212-987-10,1,חניה  שניה
19,01/05/2023,"₪6,011,000",מרים החשמונאית 10,6212-987-44,70,דירה בבית קומות 3 ראשונה
20,01/05/2023,"₪196,000",מרים החשמונאית 14,6212-987-21,1,חניה  שלישית
21,17/04/2023,"₪4,750,000",לואי מרשל 7,6212-1276-3,73,דירה בבית קומות 3 קרקע
22,30/03/2023,"₪1,495,000",לואי מרשל 10,6212-1247-5,83,3 קרקע
23,09/03/2023,"₪5,500,000",פנקס 11,6212-1260-28,70,דירה בבית קומות 3 שמינית
24,02/03/2023,"₪4,300,000",יעקב דה-האז 16,6212-591-6,56,דירה בבית קומות 3 ראשונה
25,02/03/2023,"₪7,100,000",מרים החשמונאית 10,6212-987-48,90,דירה בבית קומות 3 שלישית
26,21/02/2023,"₪7,850,000",יעקב דה-האז 11,6212-925-17,104,דירה בבית קומות 4 רביעית
27,26/12/2022,"₪2,072,500",מרים החשמונאית 14,6212-987-13,55,דירה בבית קומות 2 שניה
28,18/12/2022,"₪4,095,000",מרים החשמונאית 14,6212-987-5,55,דירה בבית קומות 2 ראשונה
29,15/12/2022,"₪2,500,000",לואי מרשל 7,6212-1276-11,61,דירה בבית קומות 2 ראשונה
30,27/11/2022,"₪3,486,500",מרים החשמונאית 14,6212-987-20,97,דירה בבית קומות 4 שלישית
31,24/11/2022,"₪5,600,000",פנקס 17,6212-1271-1,80,דירה בבית קומות 4 מרתף
32,27/10/2022,"₪4,750,000",מרים החשמונאית 13,6212-1016-14,76,דירה בבית קומות 3 ------
33,15/09/2022,"₪6,250,000",דה האז 26,6212-926-4,108,דירה בבית קומות 4 ראשונה
34,12/09/2022,"₪5,675,000",פנקס 11,6212-1260-29,82,דירה בבית קומות 3 שביעית
35,08/09/2022,"₪4,300,000",לואי מרשל 11,6212-1252-4,62,דירה בבית קומות 3 ראשונה
36,06/09/2022,"₪53,000",מרים החשמונאית 18,6212-987-31,1,קומבינציה  שניה
37,18/08/2022,"₪6,900,000",יעקב דה-האז 11,6212-925-18,122,דירה בבית קומות 4.5 ראשונה
38,14/08/2022,"₪5,250,000",מרים החשמונאית 18,6212-987-29,147,דירה בבית קומות 5 ראשונה
39,08/08/2022,"₪93,000",מרים החשמונאית 14,6212-987-0,1,קומבינציה
40,08/08/2022,"₪53,000",מרים החשמונאית 14,6212-987-0,1,קומבינציה
